job_title,employer_name,job_city,job_state,job_country,job_employment_type,job_is_remote,job_posted_at,job_min_salary,job_max_salary,job_salary_period,avg_salary,skills
Data Visualization Sr. Analyst,Accenture in India,Kochi,Kerala,IN,Full–time,False,23 hours ago,,,,,"Python, SQL, Excel, Power BI, Tableau, R, Data Visualization"
Data Analyst / Senior Data Analyst,Talentra,New Delhi,Delhi,IN,Full–time,False,19 hours ago,,,,,"Python, Excel, R, Statistics, Data Visualization"
Cision - Senior Data Analyst ( 4-8 yrs ),ETCIO - Cloud Data Center,Hyderabad,Telangana,IN,Full–time,False,3 days ago,,,,,"Excel, Power BI, R, Spark, Azure, Statistics, Data Visualization"
Business Data Analyst,Orange Business,Gurugram,Haryana,IN,Full–time,False,2 days ago,,,,,"Power BI, Machine Learning, R"
Data Analyst_3+yrs,Zorba AI,,,IN,Full–time,False,5 days ago,,,,,"Python, SQL, R, Spark, AWS"
"Data Analyst, Predictive Analytics, India- X Delivery",Boston Consulting Group,Gurugram,Haryana,IN,Full–time,False,7 days ago,,,,,"Python, SQL, Excel, Power BI, Tableau, R, Spark, AWS, Azure, Statistics, Data Visualization, NLP"
Data Analyst - Cross Sell & Retention Analytics,Godrej Group,Mumbai,Maharashtra,IN,Full–time,False,,,,,,"Python, SQL, Excel, R, Statistics"
Online Data Analyst - Punjabi Speakers (Freelance),TELUS Digital AI Data Solutions,,,,Part-time,True,2 days ago,,,,,R
Senior Data Analyst,PVH,Bengaluru,Karnataka,IN,Full–time,False,,,,,,"SQL, Excel, R, AWS"
Data Analyst - Immediate joiners preferred,TransFi,,,,Full–time,True,,,,,,"Python, SQL, Excel, Power BI, Tableau, R, Statistics, Data Visualization"
Data Scientist/Machine Learning Engineer,Aspyra HR Services,Gurugram,Haryana,IN,Full–time,False,20 hours ago,,,,,"Python, Machine Learning, R, Pandas, NumPy, Deep Learning"
Welspun World - General Manager Principal Data Scientist ( 0-0 yrs ),ETCIO - Cloud Data Center,Hyderabad,Telangana,IN,Full–time,False,3 days ago,,,,,"Python, SQL, Excel, Machine Learning, R, Spark, AWS, Azure"
Sr Data Scientist(Biotech/Pharma Domain),Amgen,Hyderabad,Telangana,IN,Full–time,False,3 days ago,,,,,"Python, SQL, Excel, Tableau, R, Spark, AWS"
Data Visualization Sr. Analyst,Accenture in India,Kochi,Kerala,IN,Full–time,False,23 hours ago,,,,,"Python, SQL, Excel, Power BI, Tableau, R, Data Visualization"
Data scientist - Geoconcept India Private Limited,OpenTalent,,Tamil Nadu,IN,Full–time,False,4 days ago,,,,,"Python, SQL, Excel, Machine Learning, R, TensorFlow"
Senior Vp - Data Scientist- Banking Domain,Quess Corp Limited,Hisar,Haryana,IN,Full–time,False,3 days ago,,,,,"Python, SQL, Power BI, Machine Learning, R, Statistics"
"Data Scientist Lead (10+ Years- Machine learning, Artificial intelligence and Azure and Databricks) (India)",Important Business,,,IN,Full–time,False,2 days ago,,,,,"Python, SQL, Excel, Machine Learning, R, AWS, Azure, Statistics, Data Visualization"
Data Scientist,Ericsson,Kolkata,West Bengal,IN,Full–time,False,14 days ago,,,,,"Python, Machine Learning, R, AWS, Statistics, Deep Learning, NLP"
Data Scientist (India),GLOINNT,Kaij,Maharashtra,IN,Full–time,False,2 days ago,,,,,"Python, SQL, Power BI, Tableau, Machine Learning, R, Spark, AWS, Data Visualization, Deep Learning"
Sr Data Scientist,Birlasoft Limited,Pune,Maharashtra,IN,Full–time,False,22 days ago,,,,,"Python, SQL, R, Azure"
Business Analyst,Scoutit,Bagaluru,Karnataka,IN,Full–time,False,7 hours ago,,,,,"Python, SQL, Excel, R"
"Business Analyst, Business Analysis",Aspire Systems India Private Limited,Kochi,Kerala,IN,Full–time,False,22 hours ago,,,,,R
Business Analyst - Implementation,Chargebee,Chennai,Tamil Nadu,IN,Full–time,False,2 days ago,,,,,R
High Experienced Business Analyst,Next Big Technology(NBT),Jaipur,Rajasthan,IN,Full–time,False,22 hours ago,,,,,"Excel, R"
Business Data Analyst,Orange Business,Gurugram,Haryana,IN,Full–time,False,17 hours ago,,,,,"Power BI, Machine Learning, R"
"Lead Business Analyst - Innovation / Project / Organization - Bangalore, India",Societe Generale,Bengaluru,Karnataka,IN,Full–time and Contractor,False,16 days ago,,,,,"SQL, R"
"Business Analyst - Assistant Manager | Bangalore, IN",State Street Corporation,Bengaluru,Karnataka,IN,Full–time,False,5 days ago,,,,,R
R&D Experienced Professional- Business Analyst - IDC,Hitachi Careers,Chennai,Tamil Nadu,IN,Full–time,False,21 days ago,,,,,"Power BI, R, Azure"
Business Analyst- Retirement Services,Voya India,Bengaluru,Karnataka,IN,Full–time,False,21 days ago,,,,,R
Business Analyst,NTT DATA  Services,,Karnataka,IN,Full–time,False,6 days ago,,,,,"SQL, Excel, R"
Python Developer – AI/ML (7+ Years Experience Immediate Joiner),Swarnasky Technologies,Hyderabad,Telangana,IN,Full–time,False,11 hours ago,,,,,"Python, SQL, R"
Python Backend Developer IRC297068,Hitachi Careers,Bengaluru,Karnataka,IN,Full–time,False,2 days ago,,,,,"Python, SQL, Excel, R"
Python Developer,Altraize,Hosur,Tamil Nadu,IN,Full–time,False,1 day ago,,,,,"Python, Excel, R, AWS, Azure"
Senior Backend Developer (Python),Zigsaw,Chennai,Tamil Nadu,IN,Full–time,False,1 day ago,,,,,"Python, SQL, Excel, R, AWS"
Python Developer for Returnship Program - PAN India,Cognizant,Chennai,Tamil Nadu,IN,Full–time,False,2 days ago,,,,,"Python, Excel, R, AWS"
Full Stack Developer (React + Python),Gapblue Software Labs Pvt Ltd,Kochi,Kerala,IN,Full–time,False,1 day ago,,,,,"Python, SQL, Excel, R, AWS, Azure"
Python Software Developer,Innefu Labs,Lucknow,Uttar Pradesh,IN,Full–time,False,2 days ago,,,,,"Python, Excel, R"
